"","diagYm","sidoName","usedMedicineQty","population"
"1",201001,"강릉시",43617,214003
"2",201001,"거제시",12424,222600
"3",201001,"경산시",8089,257604
"4",201001,"경주시",17043,249401
"5",201001,"고양시",98930,885158
"6",201001,"공주시",5162,113865
"7",201001,"과천시",90,65292
"8",201001,"광명시",10100,322775
"9",201001,"광양시",1427,135324
"10",201001,"광주광역시",156901,1447291
"11",201001,"광주시",2226,221569
"12",201001,"구리시",14882,182075
"13",201001,"구미시",30469,393430
"14",201001,"군산시",8239,255605
"15",201001,"군포시",8563,270830
"16",201001,"김제시",1247,81735
"17",201001,"김천시",3838,125191
"18",201001,"김포시",6360,214050
"19",201001,"김해시",22110,478109
"20",201001,"나주시",4691,76966
"21",201001,"남양주시",7151,520270
"22",201001,"남원시",3556,77436
"23",201001,"논산시",5367,115614
"24",201001,"대구광역시",286342,2395518
"25",201001,"대전광역시",146412,1469599
"26",201001,"동두천시",2240,89226
"27",201001,"동해시",4826,88006
"28",201001,"목포시",65421,245720
"29",201001,"문경시",6409,67749
"30",201001,"밀양시",2404,97286
"31",201001,"보령시",5462,95781
"32",201001,"부산광역시",421465,3346609
"33",201001,"사천시",5198,104709
"34",201001,"삼척시",2455,65812
"35",201001,"상주시",5929,96360
"36",201001,"서귀포시",2403,127974
"37",201001,"서산시",7209,152892
"38",201001,"서울특별시",1299679,9512332
"39",201001,"성남시",95057,924284
"40",201001,"속초시",5535,79372
"41",201001,"수원시",108395,1040388
"42",201001,"순천시",25755,254214
"43",201001,"시흥시",15597,388402
"44",201001,"아산시",6002,269897
"45",201001,"안동시",24635,163300
"46",201001,"안산시",61732,690047
"47",201001,"안성시",5173,174065
"48",201001,"안양시",51421,588878
"49",201001,"양산시",28822,246583
"50",201001,"양주시",365,180668
"51",201001,"여수시",15583,265010
"52",201001,"영주시",1901,106837
"53",201001,"영천시",4855,92739
"54",201001,"오산시",5369,179281
"55",201001,"용인시",10544,839237
"56",201001,"울산광역시",80053,1055783
"57",201001,"원주시",37482,305068
"58",201001,"의왕시",643,141614
"59",201001,"의정부시",32711,409974
"60",201001,"이천시",3728,190167
"61",201001,"익산시",32775,290208
"62",201001,"인천광역시",195963,2595806
"63",201001,"전주시",90593,637613
"64",201001,"정읍시",6454,108003
"65",201001,"제주시",40241,393694
"66",201001,"제천시",1081,131977
"67",201001,"진주시",52489,330411
"68",201001,"천안시",64708,559514
"69",201001,"청주시",53672,787105
"70",201001,"춘천시",32964,270354
"71",201001,"충주시",17082,198332
"72",201001,"태백시",1527,50807
"73",201001,"통영시",10378,126382
"74",201001,"파주시",5967,319439
"75",201001,"평택시",17512,375434
"76",201001,"포천시",3905,133349
"77",201001,"포항시",58319,499943
"78",201001,"하남시",1804,135833
"79",201001,"화성시",5871,470027
"80",201002,"강릉시",36707,214003
"81",201002,"거제시",11562,222600
"82",201002,"경산시",8967,257604
"83",201002,"경주시",14544,249401
"84",201002,"고양시",83947,885158
"85",201002,"공주시",3727,113865
"86",201002,"과천시",139,65292
"87",201002,"광명시",8281,322775
"88",201002,"광양시",990,135324
"89",201002,"광주광역시",137871,1447291
"90",201002,"광주시",3350,221569
"91",201002,"구리시",13618,182075
"92",201002,"구미시",32932,393430
"93",201002,"군산시",6161,255605
"94",201002,"군포시",6651,270830
"95",201002,"김제시",1950,81735
"96",201002,"김천시",3658,125191
"97",201002,"김포시",5171,214050
"98",201002,"김해시",19987,478109
"99",201002,"나주시",5655,76966
"100",201002,"남양주시",7029,520270
"101",201002,"남원시",4220,77436
"102",201002,"논산시",5771,115614
"103",201002,"대구광역시",240714,2395518
"104",201002,"대전광역시",114702,1469599
"105",201002,"동두천시",1909,89226
"106",201002,"동해시",4190,88006
"107",201002,"목포시",48677,245720
"108",201002,"문경시",4928,67749
"109",201002,"밀양시",2576,97286
"110",201002,"보령시",4863,95781
"111",201002,"부산광역시",333687,3346609
"112",201002,"사천시",3742,104709
"113",201002,"삼척시",1520,65812
"114",201002,"상주시",6505,96360
"115",201002,"서귀포시",1872,127974
"116",201002,"서산시",4984,152892
"117",201002,"서울특별시",1115716,9512332
"118",201002,"성남시",92872,924284
"119",201002,"속초시",4620,79372
"120",201002,"수원시",94938,1040388
"121",201002,"순천시",21756,254214
"122",201002,"시흥시",15122,388402
"123",201002,"아산시",6432,269897
"124",201002,"안동시",17812,163300
"125",201002,"안산시",60885,690047
"126",201002,"안성시",5780,174065
"127",201002,"안양시",39049,588878
"128",201002,"양산시",26618,246583
"129",201002,"양주시",818,180668
"130",201002,"여수시",16528,265010
"131",201002,"영주시",2412,106837
"132",201002,"영천시",5430,92739
"133",201002,"오산시",4830,179281
"134",201002,"용인시",10053,839237
"135",201002,"울산광역시",72591,1055783
"136",201002,"원주시",34456,305068
"137",201002,"의왕시",514,141614
"138",201002,"의정부시",36277,409974
"139",201002,"이천시",4238,190167
"140",201002,"익산시",29572,290208
"141",201002,"인천광역시",189160,2595806
"142",201002,"전주시",66838,637613
"143",201002,"정읍시",5648,108003
"144",201002,"제주시",44057,393694
"145",201002,"제천시",1206,131977
"146",201002,"진주시",47015,330411
"147",201002,"천안시",63607,559514
"148",201002,"청주시",47012,787105
"149",201002,"춘천시",25865,270354
"150",201002,"충주시",16299,198332
"151",201002,"태백시",1436,50807
"152",201002,"통영시",8353,126382
"153",201002,"파주시",5838,319439
"154",201002,"평택시",12344,375434
"155",201002,"포천시",5244,133349
"156",201002,"포항시",47448,499943
"157",201002,"하남시",1105,135833
"158",201002,"화성시",3945,470027
"159",201003,"강릉시",46747,214003
"160",201003,"거제시",12302,222600
"161",201003,"경산시",8411,257604
"162",201003,"경주시",17638,249401
"163",201003,"고양시",98673,885158
"164",201003,"공주시",5247,113865
"165",201003,"과천시",102,65292
"166",201003,"광명시",10170,322775
"167",201003,"광양시",1286,135324
"168",201003,"광주광역시",156237,1447291
"169",201003,"광주시",4393,221569
"170",201003,"구리시",15031,182075
"171",201003,"구미시",29748,393430
"172",201003,"군산시",7449,255605
"173",201003,"군포시",8446,270830
"174",201003,"김제시",1303,81735
"175",201003,"김천시",5036,125191
"176",201003,"김포시",6822,214050
"177",201003,"김해시",18661,478109
"178",201003,"나주시",5728,76966
"179",201003,"남양주시",7645,520270
"180",201003,"남원시",5559,77436
"181",201003,"논산시",5795,115614
"182",201003,"대구광역시",273709,2395518
"183",201003,"대전광역시",123918,1469599
"184",201003,"동두천시",2583,89226
"185",201003,"동해시",4678,88006
"186",201003,"목포시",56755,245720
"187",201003,"문경시",6031,67749
"188",201003,"밀양시",2545,97286
"189",201003,"보령시",5369,95781
"190",201003,"부산광역시",367767,3346609
"191",201003,"사천시",4013,104709
