diagYm,totalMedicine,realpatient,predictPatients,Error
201201,251873975,435086,409791,0.058137931
201202,249627818,424730,406534,0.042841334
201203,269764223,469658,435732,0.072235542
201204,265999465,515735,430273,0.165709134
201205,247678444,500911,403708,0.194052436
201206,185055428,372568,312904,0.160142578
201207,175162999,318867,298560,0.063684859
201208,175286792,333746,298740,0.104888148
201209,230689362,400033,379074,0.052393178
201210,250602828,444567,407948,0.082370036
201211,267572718,485539,432555,0.109124087
201212,236719889,443402,387818,0.125358027
201301,224245379,390079,369730,0.052166356
201302,237164252,387045,388462,0.003661073
201303,257339914,439857,417717,0.050334541
201304,265370947,488479,429362,0.121022603
201305,235776183,455229,386450,0.151086596
201306,195761972,366861,328429,0.104759023
201307,188282185,324687,317583,0.021879533
201308,188346793,338872,317677,0.06254574
201309,231786052,385789,380664,0.013284464
201310,252689911,419413,410974,0.020120979
201311,259905431,436538,421437,0.034592636
201312,243497915,406695,397646,0.022250089
201401,245643315,364058,400757,0.100805366
201402,259326394,362054,420597,0.161696874
201403,249046810,381700,405692,0.062855646
201404,277358140,457015,446743,0.022476286
201405,240762708,424114,393680,0.071759008
201406,186255225,329516,314644,0.045132862
201407,191626852,309793,322433,0.040801438
201408,174595442,291738,297737,0.020562971
201409,214421961,324114,355486,0.096793104
201410,237515683,353851,388972,0.099253641
201411,269213275,415160,434933,0.047627421
201412,277005960,458650,446233,0.027072931
201501,228166006,385333,375415,0.025738777
201502,234617965,357893,384770,0.075097864
201503,259591900,383690,420982,0.097193046
201504,266043133,421518,430337,0.020922001
201505,232962690,392939,382370,0.026897305
201506,175562266,277786,299139,0.076868525
201507,169082264,247839,289743,0.169077506
201508,189346777,291307,319127,0.095500623
201509,242271188,330332,395867,0.198391315
201510,243749839,337050,398011,0.18086634
201511,242207657,357998,395775,0.105522936
201512,299130947,461926,478314,0.035477544
201601,237882404,391041,389504,0.003930534
201602,257280034,371444,417630,0.124341758
201603,269634805,418842,435545,0.039879
201604,261917279,445828,424354,0.048166558
201605,238602009,414749,390547,0.058353366
201606,195516806,326460,328073,0.004940881
201607,193547024,283805,325217,0.145917091
201608,191274464,293851,321922,0.095528006
201609,217800478,320555,360385,0.124253248
201610,240841489,350911,393794,0.122204776
201611,273253952,414595,440792,0.063186966
201612,324194055,470970,514655,0.092755377
201701,224775826,347191,370499,0.067133077
201702,210887584,337269,350361,0.03881768
201703,257476251,401660,417915,0.040469551
201704,266194452,,,
201705,236321127,,,
201706,208600151,,,
