diagYm,totalMedicine,realpatient,predictPatients,Error
201201,706166,138397,171437,0.238733499
201202,463336,131949,144968,0.098666909
201203,689879,149738,169661,0.133052398
201204,767738,189455,178148,0.059681719
201205,1252626,297957,231001,0.224716989
201206,1118688,226702,216401,0.045438505
201207,1099037,242561,214259,0.116679928
201208,1238936,297714,229508,0.229099068
201209,1778550,334933,288326,0.139153204
201210,900195,207643,192586,0.072513882
201211,776153,150035,179065,0.193488186
201212,581659,125660,157865,0.256286806
201301,685760,143878,169212,0.176079734
201302,591230,129876,158908,0.223536296
201303,939979,168469,196922,0.168891606
201304,1184274,192942,223550,0.158638347
201305,1636799,309740,272876,0.119015949
201306,1067946,221661,210871,0.048677936
201307,1682859,275499,277896,0.008700576
201308,1569211,312495,265508,0.150360806
201309,1852452,310639,296382,0.045895718
201310,1010741,199047,204635,0.028073772
201311,770675,152306,178468,0.171772616
201312,766752,142982,178040,0.245191702
201401,706044,142533,171423,0.202689903
201402,614244,141153,161417,0.143560534
201403,1081437,173402,212341,0.224559117
201404,1181822,260975,223283,0.144427627
201405,1453079,227069,252850,0.113538176
201406,1102138,217478,214597,0.013247317
201407,877004,250530,190058,0.241376282
201408,1645619,297533,273837,0.079641586
201409,1808206,325977,291559,0.105584136
201410,1096342,185223,213966,0.155180512
201411,921933,143903,194955,0.354766753
201412,875238,150184,189865,0.264215895
201501,1224994,149989,227989,0.520038136
201502,760528,130275,177362,0.361443101
201503,1122540,176398,216821,0.229157927
201504,1071418,238636,211249,0.114764746
201505,1052472,264028,209184,0.207720393
201506,1108330,196034,215272,0.098136038
201507,1033571,228231,207124,0.092480864
201508,2201174,280735,334392,0.191130425
201509,2262445,310042,341071,0.100079989
201510,1437574,197258,251160,0.273256344
201511,497072,151776,148645,0.020629085
201512,966715,156702,199836,0.275261324
201601,975439,145183,200787,0.382992499
201602,1001656,146169,203645,0.393216072
201603,1383327,185320,245247,0.323370386
201604,1981282,288962,310424,0.074272742
201605,1288573,251529,234919,0.066036123
201606,898661,224074,192418,0.141274757
201607,925865,248748,195384,0.214530368
201608,1044179,305060,208280,0.317249066
201609,1092681,314395,213567,0.320704846
201610,593377,210576,159143,0.244249107
201611,440978,178310,142531,0.200656161
201612,427285,158138,141038,0.108133402
201701,385165,152531,136447,0.105447417
201702,472684,156364,145987,0.066364381
201703,474648,190782,146201,0.233675085
201704,549944,,,
201705,709366,,,
