diagYm,totalMedicine,realpatient,predictpatient,ErrorRate
201201,717679131,1839014,1741107,0.053238855
201202,723291315,1781307,1749357,0.017936268
201203,710311477,1848080,1730277,0.063743453
201204,688268901,1718231,1697874,0.01184765
201205,599229066,1565975,1566986,0.000645604
201206,399303291,1053965,1273095,0.20791013
201207,317064465,913896,1152204,0.260760524
201208,303869023,928481,1132807,0.220064816
201209,470160115,1850278,1377255,0.255649692
201210,590173362,1968261,1553674,0.210636191
201211,635013425,1775155,1619589,0.087635164
201212,588803448,1598796,1551660,0.029482185
201301,645828012,1679944,1635486,0.026463977
201302,671662504,1669794,1673463,0.002197277
201303,720483896,1856088,1745231,0.059726155
201304,720282807,1827893,1744935,0.045384495
201305,590356636,1556559,1553943,0.00168063
201306,416083277,1039694,1297762,0.24821534
201307,357570119,939985,1211747,0.289113124
201308,347219879,1025200,1196532,0.167120562
201309,520126549,1901236,1450705,0.236967425
201310,611833309,1879115,1585514,0.156244296
201311,663080595,1834645,1660848,0.094730588
201312,634711031,1671938,1619144,0.03157653
201401,738276257,1836553,1771385,0.035483866
201402,881151292,1985834,1981412,0.002226772
201403,753468184,1804956,1793717,0.006226745
201404,745474279,1790747,1781966,0.00490354
201405,646413318,1475722,1636347,0.108845026
201406,451533281,1044473,1349873,0.292396261
201407,422389204,1038844,1307031,0.258159069
201408,394259132,1104230,1265680,0.146210482
201409,546292836,1904665,1489170,0.218145973
201410,662295675,1911339,1659694,0.13165901
201411,801278452,1983948,1863998,0.060460254
201412,840983183,1910688,1922364,0.006110888
201501,757494095,1656982,1799635,0.086092064
201502,825044182,1651119,1898934,0.150089121
201503,934931049,1941399,2060468,0.061331545
201504,870918761,1815527,1966370,0.083084967
201505,687251904,1513238,1696379,0.121025906
201506,500831029,1046838,1422341,0.358702111
201507,380227844,901971,1245054,0.380370322
201508,393387040,1017312,1264398,0.24288124
201509,608180582,1919047,1580145,0.176599114
201510,711161401,1855922,1731526,0.067026524
201511,773308087,1737213,1822882,0.049314045
201512,956377923,1978663,2091995,0.05727706
201601,878531055,1818014,1977560,0.0877584
201602,1036675817,1827858,2210033,0.209083528
201603,903167211,1886798,2013775,0.067297612
201604,822996770,1811004,1895924,0.046891117
201605,695927259,1509730,1709132,0.132077921
201606,484666345,1116601,1398579,0.252532462
201607,346265396,1027776,1195129,0.162830228
201608,332537902,1118215,1174950,0.050737112
201609,429176434,1735860,1317009,0.241293077
201610,414058091,1849681,1294785,0.299995513
201611,488148164,1910390,1403697,0.265230136
201612,680132967,2204714,1685915,0.235313515
201701,429781447,,,
201702,361552558,,,
201703,454037212,,,
201704,474048918,,,
201705,393800467,,,
201706,305882812,,,
