diagYm,totalMedicine,realpatient,predictpatient,ErrorRate
201201,88379060,545379,543875,0.002757715
201202,79006069,483346,518287,0.07228983
201203,86150504,504754,537791,0.065451685
201204,85736541,480103,536661,0.117803888
201205,92796615,515264,555935,0.078932353
201206,87849767,523596,542430,0.035970481
201207,90731983,543895,550299,0.011774331
201208,104821142,635004,588762,0.072821589
201209,89042157,512147,545685,0.065485105
201210,73853243,417829,504220,0.206761618
201211,79560615,503579,519801,0.032213416
201212,103520132,732209,585210,0.200760985
201301,114595610,769537,615446,0.200238585
201302,85224848,500486,535264,0.069488457
201303,79501266,437417,519639,0.187971661
201304,87269926,467326,540847,0.157322725
201305,91240276,498853,551686,0.105908955
201306,85963595,500686,537281,0.073089721
201307,97041227,548593,567523,0.034506456
201308,103861339,599067,586142,0.021575216
201309,93511913,504435,557888,0.105966081
201310,78029486,397657,515621,0.296647613
201311,75504865,420738,508728,0.209132524
201312,91668783,592254,552856,0.066522134
201401,97201668,590453,567961,0.038092786
201402,85445256,467374,535866,0.146546449
201403,84591350,447107,533535,0.193304958
201404,83415684,427274,530325,0.241182473
201405,87781388,453814,542243,0.194857364
201406,87300841,466790,540932,0.158833737
201407,99967806,536536,575512,0.072643774
201408,100298305,551997,576415,0.044235748
201409,94364102,505399,560214,0.108458861
201410,81571830,431083,525291,0.218537961
201411,86622475,497997,539080,0.082496481
201412,128225703,864290,652656,0.244864571
201501,124173532,842301,641594,0.238284176
201502,97089142,592317,567654,0.041638177
201503,97744627,534487,569443,0.065401029
201504,94582679,492932,560811,0.137704592
201505,95793761,508797,564117,0.108727056
201506,95992363,499859,564659,0.129636558
201507,109373873,574943,601191,0.045653221
201508,117077369,660697,622221,0.05823547
201509,100776695,553123,577721,0.044471121
201510,87151218,454303,540523,0.189785231
201511,85307224,470058,535489,0.139197716
201512,103840716,605262,586085,0.0316838
201601,92793754,549751,555927,0.011234177
201602,96180627,535410,565173,0.055589175
201603,99700568,560452,574783,0.025570432
201604,91817944,522204,553263,0.059476756
201605,101192226,606244,578855,0.045178179
201606,93228710,624151,557115,0.107403497
201607,77026618,660511,512883,0.22350574
201608,88346161,801121,543785,0.321219891
201609,67940845,624471,488079,0.218412064
201610,39747447,503572,411111,0.183610288
201611,41474150,552802,415825,0.24778673
201612,47634484,740762,432642,0.415950062
201701,41144690,,,
201702,35400959,,,
201703,39379210,,,
201704,40304142,,,
201705,40867593,,,
201706,41166594,,,
